timestamp,host,cpu_util,throughput_rps,power_watts,efficiency_score
1773178477.2200909,h2,3.06,0.00,4.25,0.2352
1773178477.7212403,h2,3.18,0.00,4.25,0.2352
1773178478.222298,h2,3.18,0.00,4.75,0.2104
1773178478.7233474,h2,3.06,0.00,4.75,0.2104
1773178479.224389,h2,3.18,0.00,4.25,0.2352
1773178479.7254548,h2,3.12,0.00,4.25,0.2352
1773178480.2264764,h2,3.12,0.00,4.25,0.2352
1773178480.7274861,h2,3.18,0.00,4.25,0.2352
1773178481.2285135,h2,3.12,0.00,4.25,0.2352
1773178481.7295544,h2,3.18,0.00,4.25,0.2352
1773178482.2305853,h2,3.12,0.00,4.25,0.2352
1773178482.73162,h2,3.12,0.00,4.25,0.2352
1773178483.232639,h2,3.12,0.00,4.25,0.2352
1773178483.7336545,h2,3.12,0.00,4.75,0.2104
1773178484.2346792,h2,3.12,0.00,4.75,0.2104
1773178484.7357273,h2,3.12,0.00,4.75,0.2104
1773178485.2367637,h2,3.12,0.00,4.25,0.2352
1773178485.737795,h2,3.18,0.00,4.25,0.2352
1773178486.238809,h2,3.06,0.00,4.25,0.2352
1773178486.739841,h2,3.18,0.00,4.25,0.2352
1773178487.240874,h2,3.19,0.00,5.41,0.1847
1773178487.7419267,h2,3.30,0.00,4.75,0.2104
1773178488.2429602,h2,3.18,0.00,4.25,0.2352
1773178488.7439864,h2,3.06,0.00,4.25,0.2352
1773178489.24503,h2,3.18,0.00,4.75,0.2104
1773178489.7461312,h2,3.18,0.00,4.25,0.2352
1773178490.247168,h2,3.06,0.00,4.25,0.2352
1773178490.7481868,h2,3.18,0.00,4.25,0.2352
1773178491.2492075,h2,3.12,0.00,4.92,0.2033
1773178491.7502403,h2,3.12,0.00,4.75,0.2104
1773178492.2512684,h2,3.18,0.00,4.25,0.2352
1773178492.7523105,h2,3.12,0.00,4.25,0.2352
1773178493.253348,h2,3.18,0.00,4.25,0.2352
1773178493.754383,h2,3.18,0.00,4.25,0.2352
1773178494.2553897,h2,3.12,0.00,4.25,0.2352
1773178494.756417,h2,3.12,0.00,4.25,0.2352
1773178495.2574568,h2,3.18,0.00,4.25,0.2352
1773178495.758499,h2,3.12,0.00,4.25,0.2352
1773178496.2595227,h2,3.06,0.00,4.25,0.2352
1773178496.760547,h2,3.18,0.00,4.25,0.2352
