timestamp,host,cpu_util,throughput_rps,power_watts,efficiency_score
1773178917.8585432,h2,0.00,0.00,4.75,0.2104
1773178918.3598447,h2,0.00,0.00,4.75,0.2104
1773178918.860901,h2,0.06,0.00,4.25,0.2352
1773178919.3620112,h2,0.00,0.00,4.25,0.2352
1773178919.8630304,h2,0.12,0.00,4.75,0.2104
1773178920.3640594,h2,0.00,0.00,4.25,0.2352
1773178920.864928,h2,0.44,0.00,5.42,0.1845
1773178921.366011,h2,4.26,0.00,4.25,0.2352
1773178921.8670728,h2,3.96,0.00,4.25,0.2352
1773178922.3681102,h2,3.60,0.00,4.75,0.2104
1773178922.8691509,h2,4.55,0.00,4.25,0.2352
1773178923.3702106,h2,3.90,0.00,4.92,0.2033
1773178923.8712492,h2,3.96,0.00,4.75,0.2104
1773178924.3722825,h2,3.84,0.00,4.25,0.2352
1773178924.873316,h2,3.84,0.00,4.75,0.2104
1773178925.374377,h2,3.96,0.00,4.75,0.2104
1773178925.8754146,h2,3.84,0.00,4.75,0.2104
1773178926.376466,h2,3.48,0.00,4.75,0.2104
1773178926.8775096,h2,3.72,0.00,4.75,0.2104
1773178927.3785448,h2,3.66,0.00,4.25,0.2352
1773178927.8795812,h2,3.54,0.00,4.75,0.2104
1773178928.3806226,h2,3.60,0.00,4.25,0.2352
1773178928.8816614,h2,3.72,0.00,4.75,0.2104
1773178929.3827393,h2,3.96,0.00,5.42,0.1845
1773178929.8837717,h2,3.78,0.00,4.75,0.2104
1773178930.3848047,h2,3.78,0.00,4.25,0.2352
1773178930.885842,h2,3.84,0.00,4.75,0.2104
1773178931.386906,h2,3.60,0.00,4.75,0.2104
1773178931.8879564,h2,3.60,0.00,4.75,0.2104
1773178932.388994,h2,3.48,0.00,4.75,0.2104
1773178932.8900592,h2,4.20,0.00,4.75,0.2104
1773178933.3911026,h2,4.08,0.00,4.75,0.2104
1773178933.8921685,h2,3.96,0.00,5.42,0.1845
1773178934.3932116,h2,3.18,0.00,4.75,0.2104
1773178934.89427,h2,3.24,0.00,4.75,0.2104
1773178935.395307,h2,3.12,0.00,4.75,0.2104
1773178935.8963578,h2,3.06,0.00,4.75,0.2104
1773178936.3974042,h2,3.24,0.00,4.75,0.2104
1773178936.8984482,h2,4.08,0.00,5.42,0.1845
1773178937.3994951,h2,4.73,0.00,4.75,0.2104
1773178937.900531,h2,4.96,0.00,5.42,0.1845
1773178938.4015727,h2,5.14,0.00,4.75,0.2104
1773178938.9026072,h2,4.96,0.00,4.75,0.2104
1773178939.4036906,h2,5.08,0.00,4.75,0.2104
1773178939.9047184,h2,4.84,0.00,5.42,0.1845
1773178940.4057534,h2,5.08,0.00,4.25,0.2352
1773178940.9067748,h2,4.67,0.00,4.75,0.2104
1773178941.4078126,h2,4.38,0.00,4.75,0.2104
1773178941.908868,h2,5.02,0.00,4.25,0.2352
1773178942.4099374,h2,4.96,0.00,4.92,0.2033
1773178942.9109771,h2,5.08,0.00,5.42,0.1845
1773178943.412013,h2,4.79,0.00,4.25,0.2352
1773178943.913053,h2,4.85,0.00,4.75,0.2104
1773178944.4141455,h2,4.96,0.00,4.75,0.2104
1773178944.9151776,h2,5.20,0.00,4.25,0.2352
1773178945.416225,h2,4.90,0.00,4.25,0.2352
1773178945.9172614,h2,5.14,0.00,6.09,0.1643
