timestamp,host,cpu_util,throughput_rps,power_watts,efficiency_score
1773180733.0661402,h2,0.00,0.00,4.25,0.2352
1773180733.5673912,h2,0.00,0.00,4.25,0.2352
1773180734.0684395,h2,0.00,0.00,4.25,0.2352
1773180734.5694885,h2,0.00,0.00,4.75,0.2104
1773180735.0705342,h2,0.00,0.00,4.75,0.2104
1773180735.5717123,h2,0.00,0.00,4.75,0.2104
1773180736.0727487,h2,0.00,0.00,4.75,0.2104
1773180736.5737932,h2,0.00,0.00,4.25,0.2352
1773180737.0748303,h2,0.00,0.00,4.25,0.2352
1773180737.5759852,h2,0.00,0.00,4.25,0.2352
1773180738.077132,h2,0.00,0.00,4.75,0.2104
1773180738.5782018,h2,2.68,0.00,4.75,0.2104
1773180739.0793304,h2,3.18,0.00,4.75,0.2104
1773180739.5804698,h2,3.24,0.00,4.75,0.2104
1773180740.0815873,h2,3.12,0.00,4.75,0.2104
1773180740.5827136,h2,3.18,0.00,4.75,0.2104
1773180741.0838287,h2,3.12,0.00,4.75,0.2104
1773180741.584935,h2,3.18,0.00,4.75,0.2104
1773180742.0860398,h2,3.18,0.00,4.75,0.2104
1773180742.5871525,h2,3.12,0.00,4.75,0.2104
1773180743.088247,h2,3.12,0.00,4.25,0.2352
1773180743.58935,h2,3.18,0.00,4.75,0.2104
1773180744.0904715,h2,3.18,0.00,4.75,0.2104
1773180744.5915635,h2,3.12,0.00,4.75,0.2104
1773180745.0926526,h2,3.24,0.00,4.75,0.2104
1773180745.5937424,h2,3.12,0.00,4.75,0.2104
1773180746.0948646,h2,3.18,0.00,4.75,0.2104
1773180746.595961,h2,3.06,0.00,4.75,0.2104
1773180747.097045,h2,3.18,0.00,4.75,0.2104
1773180747.598167,h2,3.18,0.00,4.75,0.2104
1773180748.0992563,h2,3.06,0.00,4.75,0.2104
1773180748.600325,h2,3.18,0.00,5.42,0.1844
1773180749.10142,h2,3.12,0.00,4.75,0.2104
1773180749.602544,h2,3.12,0.00,4.75,0.2104
1773180750.1036294,h2,3.12,0.00,4.25,0.2352
1773180750.6047099,h2,3.12,0.00,4.75,0.2104
1773180751.1057925,h2,3.18,0.00,4.25,0.2352
1773180751.6068828,h2,3.12,0.00,4.25,0.2352
1773180752.1079695,h2,3.12,0.00,4.75,0.2104
1773180752.6090562,h2,3.24,0.00,5.42,0.1844
1773180753.1101618,h2,3.42,0.00,4.75,0.2104
1773180753.611259,h2,3.12,0.00,4.25,0.2352
1773180754.1123426,h2,3.12,0.00,4.75,0.2104
1773180754.6134212,h2,3.18,0.00,5.42,0.1844
1773180755.1145024,h2,3.36,0.00,4.75,0.2104
1773180755.6156468,h2,3.06,0.00,4.75,0.2104
1773180756.116734,h2,3.12,0.00,4.75,0.2104
1773180756.6178482,h2,3.24,0.00,4.75,0.2104
1773180757.1189513,h2,3.12,0.00,4.75,0.2104
1773180757.620026,h2,3.12,0.00,4.25,0.2352
