timestamp,host,cpu_util,throughput_rps,power_watts,efficiency_score
1773180040.6818335,h3,0.00,0.00,4.53,0.2209
1773180041.1830049,h3,2.93,0.00,5.19,0.1927
1773180041.684105,h3,3.24,0.00,5.19,0.1927
1773180042.185201,h3,3.18,0.00,5.19,0.1927
1773180042.6862566,h3,3.12,0.00,5.19,0.1927
1773180043.1873226,h3,3.12,0.00,5.19,0.1927
1773180043.6884236,h3,3.18,0.00,5.19,0.1927
1773180044.1894655,h3,3.18,0.00,5.64,0.1773
1773180044.6905344,h3,3.19,0.00,5.19,0.1927
1773180045.1915753,h3,3.12,0.00,5.19,0.1927
1773180045.6926281,h3,3.18,0.00,5.19,0.1927
1773180046.19367,h3,3.18,0.00,5.19,0.1927
1773180046.6947312,h3,3.12,0.00,5.19,0.1927
1773180047.1957726,h3,3.18,0.00,4.53,0.2209
1773180047.6968212,h3,3.12,0.00,5.19,0.1927
1773180048.197861,h3,3.18,0.00,5.19,0.1926
1773180048.698908,h3,3.12,0.00,5.19,0.1927
1773180049.1999512,h3,3.12,0.00,5.19,0.1927
1773180049.7010007,h3,3.06,0.00,5.19,0.1927
1773180050.2020357,h3,3.18,0.00,5.19,0.1927
1773180050.7030673,h3,3.24,0.00,5.19,0.1927
1773180051.2041132,h3,3.06,0.00,5.19,0.1927
1773180051.7051835,h3,3.19,0.00,5.19,0.1927
1773180052.2063136,h3,3.36,0.00,5.64,0.1773
1773180052.7073476,h3,3.19,0.00,5.19,0.1927
1773180053.2084231,h3,3.18,0.00,5.19,0.1927
1773180053.7094862,h3,3.12,0.00,4.53,0.2209
1773180054.210552,h3,3.18,0.00,5.19,0.1927
1773180054.711591,h3,3.12,0.00,5.19,0.1927
1773180055.2126453,h3,3.12,0.00,4.53,0.2209
1773180055.7136962,h3,3.12,0.00,5.19,0.1927
1773180056.21477,h3,3.18,0.00,5.19,0.1927
1773180056.7158124,h3,3.06,0.00,5.19,0.1927
1773180057.2168791,h3,3.18,0.00,5.19,0.1927
1773180057.7179363,h3,3.12,0.00,4.53,0.2209
1773180058.2189875,h3,3.12,0.00,5.19,0.1927
1773180058.7200425,h3,3.24,0.00,5.19,0.1927
1773180059.2210896,h3,3.12,0.00,5.19,0.1926
1773180059.7221384,h3,3.12,0.00,5.19,0.1926
1773180060.223192,h3,3.18,0.00,5.19,0.1927
1773180060.7242153,h3,3.18,0.00,5.19,0.1927
1773180061.225262,h3,3.12,0.00,5.19,0.1926
1773180061.7263148,h3,3.30,0.00,4.53,0.2209
1773180062.2274058,h3,3.12,0.00,5.19,0.1926
1773180062.7284834,h3,3.24,0.00,5.19,0.1926
1773180063.2295136,h3,3.12,0.00,5.19,0.1926
1773180063.7305977,h3,3.18,0.00,5.19,0.1927
1773180064.2316732,h3,3.06,0.00,5.19,0.1927
1773180064.7327147,h3,3.18,0.00,5.19,0.1927
1773180065.2337654,h3,3.12,0.00,5.19,0.1927
1773180065.734833,h3,3.18,0.00,5.19,0.1927
1773180066.2358868,h3,3.06,0.00,5.19,0.1927
1773180066.7369256,h3,3.12,0.00,5.19,0.1927
1773180067.2379851,h3,3.18,0.00,4.53,0.2209
1773180067.739037,h3,3.18,0.00,5.19,0.1927
1773180068.240096,h3,3.18,0.00,5.19,0.1926
1773180068.7411292,h3,3.12,0.00,5.19,0.1927
1773180069.2421868,h3,3.12,0.00,5.19,0.1926
1773180069.7432363,h3,3.06,0.00,5.19,0.1926
1773180070.2442815,h3,3.18,0.00,4.53,0.2209
1773180070.7453325,h3,3.18,0.00,5.19,0.1927
1773180071.2463918,h3,3.12,0.00,5.19,0.1926
1773180071.7474456,h3,3.49,0.00,5.19,0.1927
1773180072.2485292,h3,3.18,0.00,5.19,0.1926
1773180072.749572,h3,3.06,0.00,5.19,0.1927
1773180073.2506623,h3,3.24,0.00,5.19,0.1926
1773180073.7517314,h3,3.18,0.00,5.19,0.1926
1773180074.2527924,h3,3.12,0.00,5.19,0.1927
1773180074.7538943,h3,3.18,0.00,5.19,0.1927
1773180075.2549675,h3,3.12,0.00,4.53,0.2209
1773180075.7560084,h3,3.12,0.00,5.19,0.1926
1773180076.2570634,h3,3.12,0.00,5.19,0.1926
1773180076.7581053,h3,3.18,0.00,5.19,0.1926
1773180077.259153,h3,3.12,0.00,5.19,0.1926
1773180077.7602048,h3,3.18,0.00,5.19,0.1927
1773180078.261253,h3,3.06,0.00,5.19,0.1926
